,y_pred,y_true
0,3,3
1,8,8
2,8,8
3,8,0
4,6,6
5,6,6
6,1,1
7,6,6
8,5,3
9,1,1
10,0,0
11,1,9
12,6,5
13,7,7
14,9,9
15,8,8
16,5,5
17,3,7
18,8,8
19,6,6
20,7,7
21,0,0
22,2,4
23,9,9
24,4,5
25,2,2
26,6,4
27,7,0
28,9,9
29,6,6
30,3,6
31,2,5
32,4,4
33,6,5
34,9,9
35,3,2
36,4,4
37,1,1
38,9,9
39,5,5
40,1,4
41,6,6
42,3,5
43,6,6
44,0,0
45,9,9
46,3,3
47,7,9
48,7,7
49,6,6
50,9,9
51,8,8
52,6,0
53,3,3
54,8,8
55,8,8
56,7,7
57,6,7
58,5,4
59,5,6
60,4,7
61,3,3
62,4,6
63,1,3
64,6,6
65,6,2
66,1,1
67,0,2
68,3,3
69,9,7
70,4,2
71,6,6
72,8,8
73,8,8
74,9,0
75,2,2
76,9,9
77,3,3
78,3,3
79,0,8
80,8,8
81,9,1
82,1,1
83,5,7
84,2,2
85,7,5
86,2,2
87,8,7
88,7,8
89,9,9
90,0,0
91,4,3
92,8,8
93,6,6
94,4,4
95,6,6
96,6,6
97,0,0
98,7,0
99,9,7
100,4,4
101,7,5
102,6,6
103,6,3
104,1,1
105,1,1
106,8,3
107,6,6
108,5,8
109,5,7
110,4,4
111,0,0
112,2,6
113,2,2
114,9,1
115,7,3
116,0,0
117,7,4
118,6,2
119,3,7
120,8,8
121,4,3
122,1,1
123,2,2
124,0,8
125,6,0
126,8,8
127,3,3
128,3,5
129,0,2
130,4,4
131,9,1
132,8,8
133,9,9
134,1,1
135,5,2
136,9,9
137,7,7
138,2,2
139,8,9
140,4,6
141,5,5
142,6,6
143,5,3
144,1,8
145,0,7
146,6,6
147,5,2
148,7,5
149,5,2
150,1,8
151,9,9
152,6,6
153,8,0
154,4,0
155,5,5
156,3,2
157,9,9
158,5,5
159,4,4
160,2,2
161,1,1
162,6,6
163,6,6
164,8,8
165,7,4
166,8,8
167,6,4
168,7,5
169,9,0
170,9,9
171,7,9
172,1,9
173,8,8
174,9,9
175,9,9
176,8,3
177,7,7
178,5,5
179,9,0
180,9,0
181,7,5
182,6,2
183,2,2
184,7,3
185,8,8
186,6,6
187,6,3
188,3,4
189,8,0
190,7,5
191,3,8
192,9,0
193,1,1
194,7,7
195,4,2
196,8,8
197,3,8
198,5,7
199,8,8
200,3,5
201,0,1
202,8,8
203,7,7
204,1,1
205,5,3
206,8,0
207,5,5
208,7,7
209,8,9
210,3,7
211,1,4
212,3,5
213,7,9
214,8,8
215,0,0
216,7,7
217,9,9
218,0,8
219,4,2
220,7,7
221,6,6
222,9,9
223,5,4
224,7,3
225,9,9
226,3,6
227,4,4
228,6,7
229,6,6
230,5,5
231,1,1
232,7,5
233,0,8
234,8,8
235,0,0
236,4,4
237,9,0
238,6,5
239,6,5
240,1,1
241,1,1
242,0,8
243,7,9
244,0,0
245,6,3
246,7,1
247,8,9
248,5,2
249,8,2
250,7,5
251,3,3
252,6,9
253,9,9
254,6,4
255,0,0
256,6,3
257,1,0
258,8,0
259,1,9
260,3,8
261,9,1
262,3,5
263,6,7
264,0,0
265,8,8
266,5,2
267,4,4
268,7,7
269,3,0
270,3,2
271,3,3
272,6,6
273,5,3
274,8,8
275,2,5
276,9,0
277,4,3
278,7,4
279,5,3
280,9,9
281,1,0
282,6,6
283,1,1
284,0,0
285,9,9
286,1,1
287,0,0
288,7,7
289,9,9
290,1,1
291,2,2
292,6,6
293,9,9
294,5,3
295,4,4
296,6,6
297,0,0
298,0,0
299,6,6
300,6,6
301,6,6
302,7,3
303,5,2
304,4,6
305,8,1
306,9,8
307,2,2
308,1,1
309,4,6
310,8,8
311,6,6
312,0,8
313,0,0
314,2,4
315,4,0
316,7,7
317,7,7
318,5,5
319,3,5
320,5,3
321,5,5
322,6,2
323,2,3
324,3,4
325,9,1
326,6,7
327,5,5
328,0,4
329,6,6
330,1,1
331,9,9
332,6,3
333,6,6
